time input trueOutput measuredOutput
0.85 0.0396181449661478 -0.0260223550412909 -0.0238275066107111
0.86 0.0371562526230972 -0.0260772922496242 -0.0235421449332192
0.87 0.0346576915446364 -0.0261153578007574 -0.0297400776366904
0.88 0.0321249275088948 -0.0261364263894127 -0.0264444560655361
0.89 0.0295604600481915 -0.0261403899005706 -0.0272784880240578
0.9 0.0269668199822982 -0.0261271575176711 -0.0258539544911604
0.91 0.0243465669208259 -0.0260966558136927 -0.0275805797632974
0.92 0.0217022867371995 -0.0260488288250203 -0.0255618018204493
0.93 0.0190365890167123 -0.0259836381080291 -0.0249415129539944
0.94 0.0163521044811808 -0.0259010627783302 -0.025473951549744
0.95 0.01365148239274 -0.0258010995326379 -0.0260076531602887
0.96 0.0109373879393409 -0.0256837626532399 -0.0279342039473508
